name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home,total_points_20
James Rodríguez,3,0,1,7,17,0,0,1,1.7142857142857142,0,75.0,2.0,1.2857142857142858,0,2,2,2,False,3
Timothy Castagne,14,1,1,10,18,0,0,0,5.142857142857143,1,55.0,3.0,8.857142857142858,3,0,0,0,False,14
Angelo Ogbonna,1,1,1,19,14,0,0,0,1.8571428571428572,1,50.0,2.0,-0.8571428571428572,2,1,1,1,True,1
Adam Webster,1,1,1,3,5,0,0,0,1.0,1,45.0,2.0,0.0,0,2,2,2,True,1
Antonio Rüdiger,0,1,1,5,3,0,0,0,1.8571428571428572,1,50.0,2.0,-1.8571428571428572,1,1,1,1,False,0
Jorge Luiz Frello Filho,12,0,1,5,3,0,0,1,3.0,0,50.0,3.0,9.0,1,1,1,1,False,12
Lucas Rodrigues Moura da Silva,2,0,1,17,7,0,0,1,2.2857142857142856,0,70.0,3.0,-0.2857142857142856,1,1,1,1,True,2
Steven Bergwijn,1,0,1,17,7,0,0,1,0.5714285714285714,0,75.0,1.0,0.4285714285714286,1,1,1,1,True,1
Alex Iwobi,0,0,1,7,17,0,0,1,1.7142857142857142,0,60.0,2.0,-1.7142857142857142,0,2,2,2,False,0
Ryan Bertrand,2,1,1,16,6,0,0,0,1.7142857142857142,1,50.0,2.0,0.2857142857142858,3,1,1,1,False,2
Reece James,14,1,1,5,3,0,0,0,3.2857142857142856,1,50.0,3.0,10.714285714285715,1,1,1,1,False,14
Stuart Dallas,3,1,1,9,11,0,0,0,4.0,1,45.0,3.0,-1.0,0,2,2,2,False,3
Liam Cooper,0,1,1,9,11,0,0,0,0.5714285714285714,1,45.0,1.0,-0.5714285714285714,0,2,2,2,False,0
Georginio Wijnaldum,2,0,1,11,10,0,0,1,3.2857142857142856,0,55.0,3.0,-1.2857142857142856,2,2,2,2,True,2
Jan Bednarek,1,1,1,16,6,0,0,0,1.7142857142857142,1,45.0,2.0,-0.7142857142857142,3,1,1,1,False,1
Wilfried Zaha,8,0,1,6,16,0,0,1,3.0,0,70.0,3.0,5.0,3,1,1,1,True,8
Declan Rice,2,0,1,19,14,0,0,1,1.8571428571428572,0,50.0,2.0,0.1428571428571428,2,1,1,1,True,2
Cheikhou Kouyaté,3,0,1,6,16,0,0,1,3.0,0,50.0,3.0,0.0,3,1,1,1,True,3
Ross Barkley,1,0,1,5,3,0,0,1,1.1428571428571428,0,60.0,2.0,-0.1428571428571428,1,1,1,1,False,1
Bobby Decordova-Reid,1,0,1,8,1,1,0,0,2.0,2,55.0,2.0,-1.0,0,1,1,1,True,1
Benjamin Chilwell,0,1,1,5,3,0,0,0,2.2857142857142856,1,55.0,3.0,-2.2857142857142856,1,1,1,1,False,0
James Maddison,1,0,1,10,18,0,0,1,3.142857142857143,0,70.0,3.0,-2.142857142857143,3,0,0,0,False,1
Jarrod Bowen,2,0,1,19,14,0,0,1,3.4285714285714284,0,65.0,3.0,-1.4285714285714284,2,1,1,1,True,2
Oliver Norwood,2,0,1,15,20,0,0,1,1.4285714285714286,0,50.0,2.0,0.5714285714285714,2,0,0,0,True,2
Kyle Walker-Peters,1,1,1,16,6,0,0,0,2.0,1,45.0,2.0,-1.0,3,1,1,1,False,1
Dan Burn,0,1,1,3,5,0,0,0,1.5714285714285714,1,45.0,2.0,-1.5714285714285714,0,2,2,2,True,0
Jack Harrison,7,0,1,9,11,0,0,1,3.4285714285714284,0,55.0,3.0,3.5714285714285716,0,2,2,2,False,7
Dominic Calvert-Lewin,8,0,1,7,17,1,0,0,5.285714285714286,2,70.0,3.0,2.7142857142857144,0,2,2,2,False,8
Miguel Almirón,4,0,1,14,19,0,0,1,2.0,0,60.0,2.0,2.0,1,2,2,2,False,4
Marcos Alonso,2,1,1,5,3,0,0,0,2.5714285714285716,1,60.0,3.0,-0.5714285714285716,1,1,1,1,False,2
Luke Ayling,0,1,1,9,11,0,0,0,1.1428571428571428,1,45.0,2.0,-1.1428571428571428,0,2,2,2,False,0
Eberechi Eze,1,0,1,6,16,0,0,1,2.2857142857142856,0,60.0,3.0,-1.2857142857142856,3,1,1,1,True,1
Jeff Hendrick,14,0,1,14,19,0,0,1,2.2857142857142856,0,50.0,3.0,11.714285714285715,1,2,2,2,False,14
Callum Wilson,8,0,1,14,19,1,0,0,3.857142857142857,2,65.0,3.0,4.142857142857142,1,2,2,2,False,8
Oriol Romeu Vidal,2,0,1,16,6,0,0,1,0.8571428571428571,0,45.0,2.0,1.1428571428571428,3,1,1,1,False,2
César Azpilicueta,1,1,1,5,3,0,0,0,3.857142857142857,1,60.0,3.0,-2.857142857142857,1,1,1,1,False,1
Lukasz Fabianski,1,0,1,19,14,0,1,0,2.2857142857142856,3,50.0,3.0,-1.2857142857142856,2,1,1,1,True,1
Alisson Ramses Becker,1,0,1,11,10,0,1,0,4.571428571428571,3,60.0,3.0,-3.571428571428571,2,2,2,2,True,1
Trent Alexander-Arnold,1,1,1,11,10,0,0,0,3.0,1,75.0,3.0,-2.0,2,2,2,2,True,1
Kalvin Phillips,5,0,1,9,11,0,0,1,1.7142857142857142,0,50.0,2.0,3.2857142857142856,0,2,2,2,False,5
James Justin,9,1,1,10,18,0,0,0,4.571428571428571,1,45.0,3.0,4.428571428571429,3,0,0,0,False,9
Heung-Min Son,2,0,1,17,7,0,0,1,2.5714285714285716,0,90.0,3.0,-0.5714285714285716,1,1,1,1,True,2
Jonny Evans,0,1,1,10,18,0,0,0,4.142857142857143,1,55.0,3.0,-4.142857142857143,3,0,0,0,False,0
Ezgjan Alioski,0,1,1,9,11,0,0,0,1.2857142857142858,1,45.0,2.0,-1.2857142857142858,0,2,2,2,False,0
Allan Saint-Maximin,3,0,1,14,19,0,0,1,2.4285714285714284,0,55.0,3.0,0.5714285714285716,1,2,2,2,False,3
Kyle Bartley,1,1,1,18,9,0,0,0,1.7142857142857142,1,45.0,2.0,-0.7142857142857142,2,2,2,2,True,1
Andrew Robertson,4,1,1,11,10,0,0,0,4.142857142857143,1,70.0,3.0,-0.14285714285714324,2,2,2,2,True,4
Aleksandar Mitrović,1,0,1,8,1,1,0,0,1.8571428571428572,2,60.0,2.0,-0.8571428571428572,0,1,1,1,True,1
Marc Albrighton,1,0,1,10,18,0,0,1,1.4285714285714286,0,55.0,2.0,-0.4285714285714286,3,0,0,0,False,1
Alex McCarthy,2,0,1,16,6,0,1,0,3.0,3,45.0,3.0,-1.0,3,1,1,1,False,2
Yves Bissouma,2,0,1,3,5,0,0,1,1.8571428571428572,0,45.0,2.0,0.1428571428571428,0,2,2,2,True,2
Michail Antonio,2,0,1,19,14,1,0,0,1.7142857142857142,2,65.0,2.0,0.2857142857142858,2,1,1,1,True,2
Antonee Robinson,0,1,1,8,1,0,0,0,0.8571428571428571,1,45.0,2.0,-0.8571428571428571,0,1,1,1,True,0
Leandro Trossard,8,0,1,3,5,0,0,1,3.2857142857142856,0,60.0,3.0,4.714285714285714,0,2,2,2,True,8
Kelechi Iheanacho,0,0,1,10,18,1,0,0,3.2857142857142856,2,60.0,3.0,-3.2857142857142856,3,0,0,0,False,0
Sadio Mané,2,0,1,11,10,0,0,1,4.714285714285714,0,120.0,3.0,-2.7142857142857144,2,2,2,2,True,2
Darnell Furlong,2,1,1,18,9,0,0,0,1.7142857142857142,1,45.0,2.0,0.2857142857142858,2,2,2,2,True,2
Che Adams,2,0,1,16,6,1,0,0,4.714285714285714,2,60.0,3.0,-2.7142857142857144,3,1,1,1,False,2
Timo Werner,5,0,1,5,3,1,0,0,3.2857142857142856,2,95.0,3.0,1.7142857142857144,1,1,1,1,False,5
Kurt Zouma,8,1,1,5,3,0,0,0,3.2857142857142856,1,50.0,3.0,4.714285714285714,1,1,1,1,False,8
Gylfi Sigurdsson,1,0,1,7,17,0,0,1,4.714285714285714,0,70.0,3.0,-3.7142857142857144,0,2,2,2,False,1
Rodrigo Moreno,1,0,1,9,11,1,0,0,2.0,2,60.0,2.0,-1.0,0,2,2,2,False,1
Kai Havertz,2,0,1,5,3,0,0,1,2.4285714285714284,0,85.0,3.0,-0.4285714285714284,1,1,1,1,False,2
Sam Johnstone,2,0,1,18,9,0,1,0,3.2857142857142856,3,45.0,3.0,-1.2857142857142856,2,2,2,2,True,2
Joel Ward,6,1,1,6,16,0,0,0,1.7142857142857142,1,45.0,2.0,4.285714285714286,3,1,1,1,True,6
Kasper Schmeichel,6,0,1,10,18,0,1,0,4.0,3,55.0,3.0,2.0,3,0,0,0,False,6
Aaron Cresswell,1,1,1,19,14,0,0,0,3.2857142857142856,1,50.0,3.0,-2.2857142857142856,2,1,1,1,True,1
Fabio Henrique Tavares,4,0,1,11,10,0,0,1,1.7142857142857142,0,55.0,2.0,2.2857142857142856,2,2,2,2,True,4
Jordan Pickford,8,0,1,7,17,0,1,0,3.2857142857142856,3,50.0,3.0,4.714285714285714,0,2,2,2,False,8
Pablo Fornals,2,0,1,19,14,0,0,1,3.2857142857142856,0,65.0,3.0,-1.2857142857142856,2,1,1,1,True,2
Joelinton Cássio Apolinário de Lira,1,0,1,14,19,1,0,0,2.4285714285714284,2,60.0,3.0,-1.4285714285714284,1,2,2,2,False,1
George Baldock,1,1,1,15,20,0,0,0,2.0,1,55.0,2.0,-1.0,2,0,0,0,True,1
Eric Dier,2,1,1,17,7,0,0,0,1.1428571428571428,1,50.0,2.0,0.8571428571428572,1,1,1,1,True,2
Michael Keane,6,1,1,7,17,0,0,0,3.2857142857142856,1,50.0,3.0,2.7142857142857144,0,2,2,2,False,6
André-Frank Zambo Anguissa,1,0,1,8,1,0,0,1,1.4285714285714286,0,45.0,2.0,-0.4285714285714286,0,1,1,1,True,1
Jeffrey Schlupp,2,0,1,6,16,0,0,1,1.4285714285714286,0,55.0,2.0,0.5714285714285714,3,1,1,1,True,2
Çaglar Söyüncü,6,1,1,10,18,0,0,0,3.0,1,55.0,3.0,3.0,3,0,0,0,False,6
Mason Holgate,0,1,1,7,17,0,0,0,3.142857142857143,1,50.0,3.0,-3.142857142857143,0,2,2,2,False,0
Wilfred Ndidi,3,0,1,10,18,0,0,1,3.0,0,50.0,3.0,0.0,3,0,0,0,False,3
Tammy Abraham,0,0,1,5,3,1,0,0,2.0,2,75.0,2.0,-2.0,1,1,1,1,False,0
Danny Ings,2,0,1,16,6,1,0,0,4.714285714285714,2,85.0,3.0,-2.7142857142857144,3,1,1,1,False,2
James Ward-Prowse,2,0,1,16,6,0,0,1,2.5714285714285716,0,60.0,3.0,-0.5714285714285716,3,1,1,1,False,2
Tomas Soucek,2,0,1,19,14,0,0,1,5.428571428571429,0,50.0,3.0,-3.428571428571429,2,1,1,1,True,2
Mateo Kovacic,0,0,1,5,3,0,0,1,1.2857142857142858,0,55.0,2.0,-1.2857142857142858,1,1,1,1,False,0
Luka Milivojevic,1,0,1,6,16,0,0,1,1.0,0,60.0,2.0,0.0,3,1,1,1,True,1
Conor Townsend,0,1,1,18,9,0,0,0,1.4285714285714286,1,45.0,2.0,-1.4285714285714286,2,2,2,2,True,0
Hélder Wander Sousa de Azevedo e Costa,5,0,1,9,11,0,0,1,1.4285714285714286,0,55.0,2.0,3.571428571428571,0,2,2,2,False,5
Ben White,1,1,1,3,5,0,0,0,2.142857142857143,1,45.0,2.0,-1.1428571428571428,0,2,2,2,True,1
N'Golo Kanté,2,0,1,5,3,0,0,1,1.1428571428571428,0,50.0,2.0,0.8571428571428572,1,1,1,1,False,2
Toby Alderweireld,2,1,1,17,7,0,0,0,1.1428571428571428,1,55.0,2.0,0.8571428571428572,1,1,1,1,True,2
Jordan Henderson,2,0,1,11,10,0,0,1,1.2857142857142858,0,55.0,2.0,0.7142857142857142,2,2,2,2,True,2
Aaron Ramsdale,1,0,1,15,20,0,1,0,3.4285714285714284,3,50.0,3.0,-2.4285714285714284,2,0,0,0,True,1
Adam Lallana,1,0,1,3,5,0,0,1,1.2857142857142858,0,65.0,2.0,-0.2857142857142858,0,2,2,2,True,1
John Egan,0,1,1,15,20,0,0,0,2.5714285714285716,1,50.0,3.0,-2.5714285714285716,2,0,0,0,True,0
Jonjo Shelvey,3,0,1,14,19,0,0,1,1.5714285714285714,0,55.0,2.0,1.4285714285714286,1,2,2,2,False,3
Andreas Christensen,2,1,1,5,3,0,0,0,0.14285714285714285,1,50.0,1.0,1.8571428571428572,1,1,1,1,False,2
Karl Darlow,7,0,1,14,19,0,1,0,1.5714285714285714,3,50.0,2.0,5.428571428571429,1,2,2,2,False,7
Patrick Bamford,7,0,1,9,11,1,0,0,6.0,2,55.0,3.0,1.0,0,2,2,2,False,7
Ivan Ricardo Neves Abreu Cavaleiro,2,0,1,8,1,0,0,1,1.5714285714285714,0,55.0,2.0,0.4285714285714286,0,1,1,1,True,2
Harvey Barnes,3,0,1,10,18,0,0,1,3.5714285714285716,0,70.0,3.0,-0.5714285714285716,3,0,0,0,False,3
Stuart Armstrong,0,0,1,16,6,0,0,1,2.7142857142857144,0,55.0,3.0,-2.7142857142857144,3,1,1,1,False,0
Callum Hudson-Odoi,1,0,1,5,3,0,0,1,2.5714285714285716,0,60.0,3.0,-1.5714285714285716,1,1,1,1,False,1
Ayoze Pérez,3,0,1,10,18,0,0,1,2.4285714285714284,0,65.0,3.0,0.5714285714285716,3,0,0,0,False,3
Matheus Pereira,2,0,1,18,9,0,0,1,6.714285714285714,0,60.0,3.0,-4.714285714285714,2,2,2,2,True,2
Gary Cahill,0,1,1,6,16,0,0,0,2.142857142857143,1,45.0,2.0,-2.142857142857143,3,1,1,1,True,0
Vicente Guaita,10,0,1,6,16,0,1,0,3.5714285714285716,3,50.0,3.0,6.428571428571429,3,1,1,1,True,10
John Fleck,2,0,1,15,20,0,0,1,1.4285714285714286,0,60.0,2.0,0.5714285714285714,2,0,0,0,True,2
Tanguy Ndombele,1,0,1,17,7,0,0,1,2.142857142857143,0,60.0,2.0,-1.1428571428571428,1,1,1,1,True,1
Tyrick Mitchell,6,1,1,6,16,0,0,0,1.4285714285714286,1,40.0,2.0,4.571428571428571,3,1,1,1,True,6
Mario Lemina,0,0,1,8,1,0,0,1,1.0,0,45.0,2.0,-1.0,0,1,1,1,True,0
Mason Mount,2,0,1,5,3,0,0,1,4.428571428571429,0,70.0,3.0,-2.428571428571429,1,1,1,1,False,2
Hugo Lloris,3,0,1,17,7,0,1,0,2.4285714285714284,3,55.0,3.0,0.5714285714285716,1,1,1,1,True,3
Lewis Dunk,1,1,1,3,5,0,0,0,3.142857142857143,1,50.0,3.0,-2.142857142857143,0,2,2,2,True,1
Yerry Mina,6,1,1,7,17,0,0,0,3.5714285714285716,1,55.0,3.0,2.4285714285714284,0,2,2,2,False,6
David McGoldrick,1,0,1,15,20,1,0,0,2.142857142857143,2,55.0,2.0,-1.1428571428571428,2,0,0,0,True,1
Neal Maupay,2,0,1,3,5,1,0,0,1.4285714285714286,2,65.0,2.0,0.5714285714285714,0,2,2,2,True,2
Matt Phillips,0,0,1,18,9,0,0,1,1.4285714285714286,0,55.0,2.0,-1.4285714285714286,2,2,2,2,True,0
Mohamed Salah,20,0,1,11,10,0,0,1,7.714285714285714,0,120.0,3.0,12.285714285714285,2,2,2,2,True,20
Christian Benteke,0,0,1,6,16,1,0,0,2.0,2,55.0,2.0,-2.0,3,1,1,1,True,0
Lucas Digne,12,1,1,7,17,0,0,0,3.5714285714285716,1,60.0,3.0,8.428571428571429,0,2,2,2,False,12
Oluwasemilogo Adesewo Ibidapo Ajayi,0,1,1,18,9,0,0,0,0.7142857142857143,1,50.0,1.0,-0.7142857142857143,2,2,2,2,True,0
Illan Meslier,1,0,1,9,11,0,1,0,3.142857142857143,3,45.0,3.0,-2.142857142857143,0,2,2,2,False,1
Enda Stevens,1,1,1,15,20,0,0,0,2.4285714285714284,1,55.0,3.0,-1.4285714285714284,2,0,0,0,True,1
Nathan Redmond,2,0,1,16,6,0,0,1,1.8571428571428572,0,65.0,2.0,0.1428571428571428,3,1,1,1,False,2
Chris Basham,1,1,1,15,20,0,0,0,2.857142857142857,1,50.0,3.0,-1.8571428571428572,2,0,0,0,True,1
Hakim Ziyech,0,0,1,5,3,0,0,1,2.5714285714285716,0,80.0,3.0,-2.5714285714285716,1,1,1,1,False,0
Roberto Firmino,1,0,1,11,10,1,0,0,3.4285714285714284,2,95.0,3.0,-2.4285714285714284,2,2,2,2,True,1
Richarlison de Andrade,2,0,1,7,17,1,0,0,2.857142857142857,2,80.0,3.0,-0.8571428571428572,0,2,2,2,False,2
Ben Davies,2,1,1,17,7,0,0,0,0.5714285714285714,1,50.0,1.0,1.4285714285714286,1,1,1,1,True,2
Thiago Thiago,0,1,1,5,3,0,0,0,2.857142857142857,1,55.0,3.0,-2.857142857142857,1,1,1,1,False,0
Pascal Groß,1,0,1,3,5,0,0,1,3.7142857142857144,0,60.0,3.0,-2.7142857142857144,0,2,2,2,True,1
Callum Robinson,1,0,1,18,9,1,0,0,4.571428571428571,2,55.0,3.0,-3.571428571428571,2,2,2,2,True,1
Mateusz Klich,9,0,1,9,11,0,0,1,3.5714285714285716,0,55.0,3.0,5.428571428571429,0,2,2,2,False,9
Solomon March,2,0,1,3,5,0,0,1,2.0,0,50.0,2.0,0.0,0,2,2,2,True,2
Seamus Coleman,6,1,1,7,17,0,0,0,2.142857142857143,1,50.0,2.0,3.857142857142857,0,2,2,2,False,6
Jacob Murphy,0,0,1,14,19,0,0,1,1.0,0,50.0,2.0,-1.0,1,2,2,2,False,0
Pascal Struijk,0,1,1,9,11,0,0,0,0.7142857142857143,1,40.0,1.0,-0.7142857142857143,0,2,2,2,False,0
Jannik Vestergaard,1,1,1,16,6,0,0,0,3.142857142857143,1,45.0,3.0,-2.142857142857143,3,1,1,1,False,1
Ben Osborn,0,0,1,15,20,0,0,1,0.7142857142857143,0,50.0,1.0,-0.7142857142857143,2,0,0,0,True,0
Harry Kane,2,0,1,17,7,1,0,0,8.571428571428571,2,105.0,3.0,-6.571428571428571,1,1,1,1,True,2
Pierre-Emile Højbjerg,1,0,1,17,7,0,0,1,1.8571428571428572,0,50.0,2.0,-0.8571428571428572,1,1,1,1,True,1
Ruben Loftus-Cheek,2,0,1,5,3,0,0,1,1.5714285714285714,0,60.0,2.0,0.4285714285714286,1,1,1,1,False,2
Jordan Ayew,2,0,1,6,16,1,0,0,2.0,2,60.0,2.0,0.0,3,1,1,1,True,2
Patrick van Aanholt,0,1,1,6,16,0,0,0,0.7142857142857143,1,55.0,1.0,-0.7142857142857143,3,1,1,1,True,0
Federico Fernández,6,1,1,14,19,0,0,0,1.0,1,50.0,2.0,5.0,1,2,2,2,False,6
Alphonse Areola,0,0,1,8,1,0,1,0,2.857142857142857,3,45.0,3.0,-2.857142857142857,0,1,1,1,True,0
Harrison Reed,2,0,1,8,1,0,0,1,2.4285714285714284,0,45.0,3.0,-0.4285714285714284,0,1,1,1,True,2
Jamie Vardy,13,0,1,10,18,1,0,0,5.714285714285714,2,100.0,3.0,7.285714285714286,3,0,0,0,False,13
Serge Aurier,0,1,1,17,7,0,0,0,0.2857142857142857,1,55.0,1.0,-0.2857142857142857,1,1,1,1,True,0
Youri Tielemans,3,0,1,10,18,0,0,1,2.5714285714285716,0,65.0,3.0,0.4285714285714284,3,0,0,0,False,3
Christian Pulisic,0,0,1,5,3,0,0,1,1.8571428571428572,0,85.0,2.0,-1.8571428571428572,1,1,1,1,False,0
Matt Ritchie,0,0,1,14,19,0,0,1,3.142857142857143,0,50.0,3.0,-3.142857142857143,1,2,2,2,False,0
Andros Townsend,8,0,1,6,16,0,0,1,3.4285714285714284,0,60.0,3.0,4.571428571428571,3,1,1,1,True,8
Jairo Riedewald,0,0,1,6,16,0,0,1,2.5714285714285716,0,45.0,3.0,-2.5714285714285716,3,1,1,1,True,0
Joël Veltman,0,1,1,3,5,0,0,0,2.0,1,45.0,2.0,-2.0,0,2,2,2,True,0
Theo Walcott,0,0,1,7,17,0,0,1,1.0,0,60.0,2.0,-1.0,0,2,2,2,False,0
Abdoulaye Doucouré,3,0,1,7,17,0,0,1,1.2857142857142858,0,55.0,2.0,1.7142857142857142,0,2,2,2,False,3
Richarlison de Andrade,12,0,2,7,18,1,0,0,4.285714285714286,2,80.0,3.0,7.714285714285714,3,0,0,0,True,12
Romain Saïss,1,1,2,20,12,0,0,0,2.2857142857142856,1,50.0,3.0,-1.2857142857142856,0,3,3,3,True,1
Thiago Thiago,0,1,2,5,11,0,0,0,2.2857142857142856,1,55.0,3.0,-2.2857142857142856,0,2,2,2,True,0
Gylfi Sigurdsson,1,0,2,7,18,0,0,1,2.4285714285714284,0,70.0,3.0,-1.4285714285714284,3,0,0,0,True,1
Ainsley Maitland-Niles,0,1,2,1,19,0,0,0,0.5714285714285714,1,50.0,1.0,-0.5714285714285714,1,2,2,2,True,0
Danny Ings,11,0,2,16,17,1,0,0,2.4285714285714284,2,85.0,3.0,8.571428571428571,0,2,2,2,True,11
Mario Lemina,1,0,2,8,10,0,0,1,1.1428571428571428,0,45.0,2.0,-0.1428571428571428,2,2,2,2,False,1
Fabio Silva,1,0,2,20,12,1,0,0,1.8571428571428572,2,55.0,2.0,-0.8571428571428572,0,3,3,3,True,1
Joelinton Cássio Apolinário de Lira,1,0,2,14,3,1,0,0,1.8571428571428572,2,60.0,2.0,-0.8571428571428572,1,1,1,1,True,1
Granit Xhaka,2,0,2,1,19,0,0,1,2.2857142857142856,0,55.0,3.0,-0.2857142857142856,1,2,2,2,True,2
Abdoulaye Doucouré,1,0,2,7,18,0,0,1,3.142857142857143,0,55.0,3.0,-2.142857142857143,3,0,0,0,True,1
Tomas Soucek,2,0,2,19,1,0,0,1,4.428571428571429,0,50.0,3.0,-2.428571428571429,0,1,1,1,False,2
Gabriel Magalhães,2,1,2,1,19,0,0,0,1.8571428571428572,1,50.0,2.0,0.1428571428571428,1,2,2,2,True,2
Willian Borges Da Silva,2,0,2,1,19,0,0,1,2.2857142857142856,0,80.0,3.0,-0.2857142857142856,1,2,2,2,True,2
Jacob Murphy,0,0,2,14,3,0,0,1,3.2857142857142856,0,50.0,3.0,-3.2857142857142856,1,1,1,1,True,0
Rob Holding,2,1,2,1,19,0,0,0,2.0,1,45.0,2.0,0.0,1,2,2,2,True,2
Jairo Riedewald,0,0,2,6,13,0,0,1,1.1428571428571428,0,45.0,2.0,-1.1428571428571428,0,3,3,3,False,0
Patrick van Aanholt,0,1,2,6,13,0,0,0,1.1428571428571428,1,55.0,2.0,-1.1428571428571428,0,3,3,3,False,0
César Azpilicueta,0,1,2,5,11,0,0,0,3.4285714285714284,1,60.0,3.0,-3.4285714285714284,0,2,2,2,True,0
Oliver Norwood,0,0,2,15,2,0,0,1,1.2857142857142858,0,50.0,2.0,-1.2857142857142858,1,1,1,1,False,0
Angelo Ogbonna,1,1,2,19,1,0,0,0,3.4285714285714284,1,50.0,3.0,-2.4285714285714284,0,1,1,1,False,1
Bernd Leno,2,0,2,1,19,0,1,0,3.4285714285714284,3,50.0,3.0,-1.4285714285714284,1,2,2,2,True,2
Pedro Lomba Neto,2,0,2,20,12,0,0,1,2.142857142857143,0,55.0,2.0,-0.1428571428571428,0,3,3,3,True,2
Michail Antonio,6,0,2,19,1,1,0,0,3.7142857142857144,2,65.0,3.0,2.2857142857142856,0,1,1,1,False,6
Ruben Loftus-Cheek,0,0,2,5,11,0,0,1,1.1428571428571428,0,60.0,2.0,-1.1428571428571428,0,2,2,2,True,0
Tammy Abraham,1,0,2,5,11,1,0,0,0.7142857142857143,2,75.0,1.0,0.2857142857142857,0,2,2,2,True,1
Che Adams,1,0,2,16,17,1,0,0,1.2857142857142858,2,60.0,2.0,-0.2857142857142858,0,2,2,2,True,1
N'Golo Kanté,2,0,2,5,11,0,0,1,2.5714285714285716,0,50.0,3.0,-0.5714285714285716,0,2,2,2,True,2
Vicente Guaita,3,0,2,6,13,0,1,0,2.142857142857143,3,50.0,2.0,0.8571428571428572,0,3,3,3,False,3
Sam Johnstone,0,0,2,18,7,0,1,0,3.5714285714285716,3,45.0,3.0,-3.5714285714285716,1,1,1,1,False,0
Callum Wilson,2,0,2,14,3,1,0,0,3.5714285714285716,2,65.0,3.0,-1.5714285714285716,1,1,1,1,True,2
Pascal Groß,0,0,2,3,14,0,0,1,2.142857142857143,0,60.0,2.0,-2.142857142857143,2,1,1,1,False,0
Georginio Wijnaldum,3,0,2,11,5,0,0,1,2.142857142857143,0,55.0,2.0,0.8571428571428572,0,2,2,2,False,3
Diogo Jota,0,0,2,20,12,0,0,1,1.2857142857142858,0,65.0,2.0,-1.2857142857142858,0,3,3,3,True,0
Ben Davies,1,1,2,17,16,0,0,0,0.7142857142857143,1,50.0,1.0,0.2857142857142857,3,1,1,1,False,1
Lukasz Fabianski,1,0,2,19,1,0,1,0,3.5714285714285716,3,50.0,3.0,-2.5714285714285716,0,1,1,1,False,1
Eberechi Eze,1,0,2,6,13,0,0,1,3.7142857142857144,0,60.0,3.0,-2.7142857142857144,0,3,3,3,False,1
Rui Pedro dos Santos Patrício,3,0,2,20,12,0,1,0,2.2857142857142856,3,55.0,3.0,0.7142857142857144,0,3,3,3,True,3
Matt Ritchie,0,0,2,14,3,0,0,1,0.7142857142857143,0,50.0,1.0,-0.7142857142857143,1,1,1,1,True,0
Jonjo Shelvey,1,0,2,14,3,0,0,1,2.2857142857142856,0,55.0,3.0,-1.2857142857142856,1,1,1,1,True,1
Jeff Hendrick,2,0,2,14,3,0,0,1,1.1428571428571428,0,50.0,2.0,0.8571428571428572,1,1,1,1,True,2
John Egan,-2,1,2,15,2,0,0,0,2.2857142857142856,1,50.0,3.0,-4.285714285714286,1,1,1,1,False,-2
Adama Traoré,2,0,2,20,12,0,0,1,1.8571428571428572,0,65.0,2.0,0.1428571428571428,0,3,3,3,True,2
Callum Hudson-Odoi,0,0,2,5,11,0,0,1,0.5714285714285714,0,60.0,1.0,-0.5714285714285714,0,2,2,2,True,0
Benjamin Chilwell,0,1,2,5,11,0,0,0,4.142857142857143,1,55.0,3.0,-4.142857142857143,0,2,2,2,True,0
James Ward-Prowse,2,0,2,16,17,0,0,1,3.2857142857142856,0,60.0,3.0,-1.2857142857142856,0,2,2,2,True,2
Callum Robinson,2,0,2,18,7,1,0,0,1.1428571428571428,2,55.0,2.0,0.8571428571428572,1,1,1,1,False,2
Stuart Armstrong,2,0,2,16,17,0,0,1,2.0,0,55.0,2.0,0.0,0,2,2,2,True,2
Solomon March,3,0,2,3,14,0,0,1,1.1428571428571428,0,50.0,2.0,1.8571428571428572,2,1,1,1,False,3
Ryan Bertrand,-1,1,2,16,17,0,0,0,0.7142857142857143,1,50.0,1.0,-1.7142857142857144,0,2,2,2,True,-1
Bukayo Saka,2,0,2,1,19,0,0,1,3.2857142857142856,0,55.0,3.0,-1.2857142857142856,1,2,2,2,True,2
Pablo Fornals,2,0,2,19,1,0,0,1,4.0,0,65.0,3.0,-2.0,0,1,1,1,False,2
Miguel Almirón,1,0,2,14,3,0,0,1,2.0,0,60.0,2.0,-1.0,1,1,1,1,True,1
Reece James,1,1,2,5,11,0,0,0,4.0,1,50.0,3.0,-3.0,0,2,2,2,True,1
Kurt Zouma,1,1,2,5,11,0,0,0,2.0,1,50.0,2.0,-1.0,0,2,2,2,True,1
Adam Lallana,1,0,2,3,14,0,0,1,1.2857142857142858,0,65.0,2.0,-0.2857142857142858,2,1,1,1,False,1
Leander Dendoncker,1,0,2,20,12,0,0,1,0.8571428571428571,0,50.0,2.0,0.1428571428571429,0,3,3,3,True,1
Kyle Bartley,0,1,2,18,7,0,0,0,3.2857142857142856,1,45.0,3.0,-3.2857142857142856,1,1,1,1,False,0
