name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home,total_points_20
Joseph Willock,0,0,19,1,14,0,0,1,0.8571428571428571,0,50.0,2.0,-0.8571428571428571,2,1,1,1,True,0
Gary Cahill,0,1,19,6,12,0,0,0,1.4285714285714286,1,45.0,2.0,-1.4285714285714286,0,3,3,3,False,0
Conor Coady,1,1,19,20,18,0,0,0,3.4285714285714284,1,50.0,3.0,-2.4285714285714284,3,0,0,0,True,1
Aaron Cresswell,2,1,19,19,18,0,0,0,5.571428571428571,1,50.0,3.0,-3.571428571428571,3,0,0,0,True,2
Bernd Leno,6,0,19,1,14,0,1,0,4.142857142857143,3,50.0,3.0,1.8571428571428568,2,1,1,1,True,6
Rúben Diogo da Silva Neves,1,0,19,20,18,0,0,1,1.8571428571428572,0,55.0,2.0,-0.8571428571428572,3,0,0,0,True,1
Jonny Evans,7,1,19,10,16,0,0,0,3.4285714285714284,1,55.0,3.0,3.5714285714285716,3,1,1,1,True,7
Matt Phillips,0,0,19,18,19,0,0,1,1.2857142857142858,0,55.0,2.0,-1.2857142857142858,1,2,2,2,False,0
Ben White,6,1,19,3,10,0,0,0,2.142857142857143,1,45.0,2.0,3.857142857142857,2,2,2,2,False,6
Rui Pedro dos Santos Patrício,1,0,19,20,18,0,1,0,3.7142857142857144,3,55.0,3.0,-2.7142857142857144,3,0,0,0,True,1
César Azpilicueta,0,1,19,5,9,0,0,0,0.7142857142857143,1,60.0,1.0,-0.7142857142857143,2,2,2,2,False,0
Antonio Rüdiger,1,1,19,5,9,0,0,0,0.8571428571428571,1,50.0,2.0,0.1428571428571429,2,2,2,2,False,1
Daniel Ceballos Fernández,0,0,19,1,14,0,0,1,1.2857142857142858,0,50.0,2.0,-1.2857142857142858,2,1,1,1,True,0
Oliver Norwood,1,0,19,15,17,0,0,1,1.5714285714285714,0,50.0,2.0,-0.5714285714285714,0,2,2,2,True,1
Kalvin Phillips,0,0,19,9,3,0,0,1,1.8571428571428572,0,50.0,2.0,-1.8571428571428572,1,1,1,1,True,0
Willy Boly,12,1,19,20,18,0,0,0,3.7142857142857144,1,55.0,3.0,8.285714285714285,3,0,0,0,True,12
Jorge Luiz Frello Filho,0,0,19,5,9,0,0,1,1.2857142857142858,0,50.0,2.0,-1.2857142857142858,2,2,2,2,False,0
Çaglar Söyüncü,1,1,19,10,16,0,0,0,0.7142857142857143,1,55.0,1.0,0.2857142857142857,3,1,1,1,True,1
Karl Darlow,2,0,19,14,2,0,1,0,2.142857142857143,3,50.0,2.0,-0.1428571428571428,1,1,1,1,False,2
Ivan Ricardo Neves Abreu Cavaleiro,2,0,19,8,5,0,0,1,2.0,0,55.0,2.0,0.0,0,2,2,2,True,2
Kieran Tierney,6,1,19,1,14,0,0,0,3.2857142857142856,1,55.0,3.0,2.7142857142857144,2,1,1,1,True,6
Fabio Silva,6,0,19,20,18,1,0,0,3.5714285714285716,2,55.0,3.0,2.4285714285714284,3,0,0,0,True,6
James Maddison,8,0,19,10,5,0,0,1,3.2857142857142856,0,70.0,3.0,4.714285714285714,0,2,2,2,True,8
Rob Holding,6,1,19,1,14,0,0,0,4.285714285714286,1,45.0,3.0,1.7142857142857144,2,1,1,1,True,6
Kyle Walker-Peters,1,1,19,16,9,0,0,0,0.8571428571428571,1,45.0,2.0,0.1428571428571429,2,2,2,2,False,1
George Baldock,0,1,19,15,17,0,0,0,0.7142857142857143,1,55.0,1.0,-0.7142857142857143,0,2,2,2,True,0
Matt Ritchie,0,0,19,14,1,0,0,1,0.0,0,50.0,0.0,0.0,0,1,1,1,False,0
James Justin,8,1,19,10,16,0,0,0,1.8571428571428572,1,45.0,2.0,6.142857142857142,3,1,1,1,True,8
Jairo Riedewald,1,0,19,6,12,0,0,1,0.7142857142857143,0,45.0,1.0,0.2857142857142857,0,3,3,3,False,1
Pascal Groß,3,0,19,3,10,0,0,1,2.0,0,60.0,2.0,1.0,2,2,2,2,False,3
Héctor Bellerín,0,1,19,1,14,0,0,0,2.142857142857143,1,50.0,2.0,-2.142857142857143,2,1,1,1,True,0
Kai Havertz,1,0,19,5,9,0,0,1,0.8571428571428571,0,85.0,2.0,0.1428571428571429,2,2,2,2,False,1
Tomas Soucek,2,0,19,19,18,0,0,1,3.7142857142857144,0,50.0,3.0,-1.7142857142857144,3,0,0,0,True,2
Matheus Pereira,9,0,19,18,19,0,0,1,6.857142857142857,0,60.0,3.0,2.1428571428571432,1,2,2,2,False,9
Ben Osborn,0,0,19,15,17,0,0,1,2.142857142857143,0,50.0,2.0,-2.142857142857143,0,2,2,2,True,0
Jonny Evans,7,1,19,10,5,0,0,0,3.7142857142857144,1,55.0,3.0,3.2857142857142856,0,2,2,2,True,7
Ezgjan Alioski,2,1,19,9,3,0,0,0,3.4285714285714284,1,45.0,3.0,-1.4285714285714284,1,1,1,1,True,2
Oluwasemilogo Adesewo Ibidapo Ajayi,6,1,19,18,20,0,0,0,2.0,1,50.0,2.0,4.0,2,0,0,0,False,6
Mateusz Klich,2,0,19,9,3,0,0,1,2.142857142857143,0,55.0,2.0,-0.1428571428571428,1,1,1,1,True,2
Thiago Thiago,1,1,19,5,9,0,0,0,0.5714285714285714,1,55.0,1.0,0.4285714285714286,2,2,2,2,False,1
Sam Johnstone,0,0,19,18,20,0,1,0,5.285714285714286,3,45.0,3.0,-5.285714285714286,2,0,0,0,False,0
N'Golo Kanté,0,0,19,5,9,0,0,1,0.8571428571428571,0,50.0,2.0,-0.8571428571428571,2,2,2,2,False,0
Kurt Zouma,0,1,19,5,9,0,0,0,0.8571428571428571,1,50.0,2.0,-0.8571428571428571,2,2,2,2,False,0
David McGoldrick,7,0,19,15,17,1,0,0,2.0,2,55.0,2.0,5.0,0,2,2,2,True,7
Ross Barkley,3,0,19,2,14,0,0,1,1.2857142857142858,0,60.0,2.0,1.7142857142857142,2,1,1,1,True,3
Angelo Ogbonna,2,1,19,19,18,0,0,0,3.4285714285714284,1,50.0,3.0,-1.4285714285714284,3,0,0,0,True,2
Lukasz Fabianski,2,0,19,19,18,0,1,0,6.714285714285714,3,50.0,3.0,-4.714285714285714,3,0,0,0,True,2
Matt Phillips,0,0,19,18,20,0,0,1,1.8571428571428572,0,55.0,2.0,-1.8571428571428572,2,0,0,0,False,0
Ryan Bertrand,0,1,19,16,9,0,0,0,0.8571428571428571,1,50.0,2.0,-0.8571428571428571,2,2,2,2,False,0
Aleksandar Mitrović,1,0,19,8,13,1,0,0,2.142857142857143,2,60.0,2.0,-1.1428571428571428,0,3,3,3,True,1
Adam Lallana,0,0,19,3,10,0,0,1,1.8571428571428572,0,65.0,2.0,-1.8571428571428572,2,2,2,2,False,0
Declan Rice,2,0,19,19,18,0,0,1,3.4285714285714284,0,50.0,3.0,-1.4285714285714284,3,0,0,0,True,2
Ross Barkley,3,0,19,2,12,0,0,1,2.142857142857143,0,60.0,2.0,0.8571428571428572,0,3,3,3,False,3
Mateo Kovacic,1,0,19,5,9,0,0,1,0.8571428571428571,0,55.0,2.0,0.1428571428571429,2,2,2,2,False,1
Christian Pulisic,2,0,19,5,9,0,0,1,2.142857142857143,0,85.0,2.0,-0.1428571428571428,2,2,2,2,False,2
Ruben Loftus-Cheek,2,0,19,8,13,0,0,1,1.4285714285714286,0,60.0,2.0,0.5714285714285714,0,3,3,3,True,2
